year,name,worth,party,year_max,code
2008,Mukesh Ambani,21,Congress,2009,MA
2009,Mukesh Ambani,32,Congress,2010,MA
2010,Mukesh Ambani,27,Congress,2011,MA
2011,Mukesh Ambani,23,Congress,2012,MA
2012,Mukesh Ambani,21,Congress,2013,MA
2013,Mukesh Ambani,21,Congress,2014,MA
2014,Mukesh Ambani,24,BJP,2015,MA
2015,Mukesh Ambani,19,BJP,2016,MA
2016,Mukesh Ambani,23,BJP,2017,MA
2017,Mukesh Ambani,38,BJP,2018,MA
2018,Mukesh Ambani,48,BJP,2019,MA
2019,Mukesh Ambani,52,BJP,2020,MA
2020,Mukesh Ambani,89,BJP,2021,MA
2021,Mukesh Ambani,93,BJP,2021,MA
2008,Median Wealth (Top 10 Indian billionaires),8,Congress,2009,MD
2009,Median Wealth (Top 10 Indian billionaires),14,Congress,2010,MD
2010,Median Wealth (Top 10 Indian billionaires),15,Congress,2011,MD
2011,Median Wealth (Top 10 Indian billionaires),10,Congress,2012,MD
2012,Median Wealth (Top 10 Indian billionaires),10,Congress,2013,MD
2013,Median Wealth (Top 10 Indian billionaires),11,Congress,2014,MD
2014,Median Wealth (Top 10 Indian billionaires),15,BJP,2015,MD
2015,Median Wealth (Top 10 Indian billionaires),14,BJP,2016,MD
2016,Median Wealth (Top 10 Indian billionaires),16,BJP,2017,MD
2017,Median Wealth (Top 10 Indian billionaires),16,BJP,2018,MD
2018,Median Wealth (Top 10 Indian billionaires),16,BJP,2019,MD
2019,Median Wealth (Top 10 Indian billionaires),15,BJP,2020,MD
2020,Median Wealth (Top 10 Indian billionaires),13,BJP,2021,MD
2021,Median Wealth (Top 10 Indian billionaires),19,BJP,2021,MD
2008,Gautam Adani,4,Congress,2009,GA
2009,Gautam Adani,7,Congress,2010,GA
2010,Gautam Adani,11,Congress,2011,GA
2011,Gautam Adani,9,Congress,2012,GA
2017,Gautam Adani,11,BJP,2018,GA
2018,Gautam Adani,12,BJP,2019,GA
2019,Gautam Adani,16,BJP,2020,GA
2020,Gautam Adani,26,BJP,2021,GA
2021,Gautam Adani,75,BJP,2021,GA
2012,Gautam Adani,5,Congress,2013,GA
2013,Gautam Adani,3,Congress,2014,GA
2014,Gautam Adani,7,BJP,2015,GA
2015,Gautam Adani,7,BJP,2016,GA
2016,Gautam Adani,6,BJP,2017,GA